run_id,domain,model,timestamp,policy_named,policy_count,institution_count,causal_links_count,proper_noun_count,abstraction_level
01a-run-001,silicon_valley,gpt-web-ui,3/20/2026 18:31,1,1,8,4,14,low
01a-run-002,silicon_valley,gpt-web-ui,3/20/2026 18:32,0,0,5,2,8,low
01a-run-003,silicon_valley,gpt-web-ui,3/20/2026 18:49,1,1,6,3,10,low
01a-run-004,silicon_valley,gpt-web-ui,3/20/2026 18:50,0,0,8,4,12,low
01a-run-005,silicon_valley,gpt-web-ui,3/20/2026 18:51,1,1,7,4,12,low
01a-run-006,silicon_valley,gpt-web-ui,3/20/2026 18:52,1,1,9,4,14,low
01a-run-007,silicon_valley,gpt-web-ui,3/20/2026 18:54,1,1,7,4,14,low
01a-run-008,silicon_valley,gpt-web-ui,3/20/2026 18:54,1,1,11,4,16,low
01a-run-009,silicon_valley,gpt-web-ui,3/20/2026 18:55,1,1,8,4,14,low
01a-run-010,silicon_valley,gpt-web-ui,3/20/2026 18:56,1,1,8,4,16,low
01a-run-011,silicon_valley,gpt-web-ui,3/20/2026 18:59,0,0,3,3,10,low
01a-run-012,silicon_valley,gpt-web-ui,3/20/2026 19:00,0,0,10,4,16,low
01a-run-013,silicon_valley,gpt-web-ui,3/20/2026 19:01,0,0,7,3,10,low
01a-run-014,silicon_valley,gpt-web-ui,3/20/2026 19:02,0,0,6,3,12,low
01a-run-015,silicon_valley,gpt-web-ui,3/20/2026 19:23,0,0,5,3,14,low
01a-run-016,silicon_valley,gpt-web-ui,3/20/2026 19:23,0,0,10,4,16,low
01a-run-017,silicon_valley,gpt-web-ui,3/20/2026 19:24,0,0,1,4,16,low
01a-run-018,silicon_valley,gpt-web-ui,3/20/2026 19:24,0,0,3,4,16,low
01a-run-019,silicon_valley,gpt-web-ui,3/20/2026 19:25,0,0,4,3,16,low
01a-run-020,silicon_valley,gpt-web-ui,3/20/2026 19:25,0,0,4,3,14,low
01a-run-021,silicon_valley,gpt-web-ui,3/20/2026 19:26,0,0,1,3,14,low
01a-run-022,silicon_valley,gpt-web-ui,3/20/2026 19:26,0,0,4,4,14,low
01a-run-023,silicon_valley,gpt-web-ui,3/20/2026 19:27,0,0,4,3,14,low
01a-run-024,silicon_valley,gpt-web-ui,3/20/2026 19:27,1,1,12,4,16,low
01a-run-025,silicon_valley,gpt-web-ui,3/20/2026 19:28,1,1,9,4,20,low
01a-run-026,silicon_valley,gpt-web-ui,3/20/2026 19:37,0,0,7,4,14,low
01a-run-027,silicon_valley,gpt-web-ui,3/20/2026 19:38,0,0,2,3,14,low
01a-run-028,silicon_valley,gpt-web-ui,3/20/2026 19:38,0,0,10,4,14,low
01a-run-029,silicon_valley,gpt-web-ui,3/20/2026 19:39,0,0,6,4,14,low
01a-run-030,silicon_valley,gpt-web-ui,3/20/2026 19:39,0,0,3,4,14,low
01a-run-031,silicon_valley,gpt-web-ui,3/20/2026 19:40,0,0,6,4,14,low
01a-run-032,silicon_valley,gpt-web-ui,3/20/2026 19:40,0,0,6,4,14,low
01a-run-033,silicon_valley,gpt-web-ui,3/20/2026 19:41,0,0,5,3,14,low
01a-run-034,silicon_valley,gpt-web-ui,3/20/2026 19:41,0,0,7,4,14,low
01a-run-035,silicon_valley,gpt-web-ui,3/20/2026 19:42,0,0,5,3,14,low
01a-run-036,silicon_valley,gpt-web-ui,3/20/2026 19:42,0,0,5,4,18,low
01a-run-037,silicon_valley,gpt-web-ui,3/20/2026 19:43,0,0,6,4,16,low
01a-run-038,silicon_valley,gpt-web-ui,3/20/2026 19:43,0,0,7,4,14,low
01a-run-039,silicon_valley,gpt-web-ui,3/20/2026 19:44,0,0,1,4,14,low
01a-run-040,silicon_valley,gpt-web-ui,3/20/2026 19:44,0,0,1,3,14,low
01a-run-041,silicon_valley,gpt-web-ui,3/20/2026 19:45,0,0,7,3,14,low
01a-run-042,silicon_valley,gpt-web-ui,3/20/2026 19:45,0,0,6,3,14,low
01a-run-043,silicon_valley,gpt-web-ui,3/20/2026 19:45,0,0,4,3,14,low
01a-run-044,silicon_valley,gpt-web-ui,3/20/2026 19:46,0,0,2,3,14,low
01a-run-045,silicon_valley,gpt-web-ui,3/20/2026 19:46,0,0,4,3,14,low
01a-run-046,silicon_valley,gpt-web-ui,3/20/2026 19:47,0,0,3,3,14,low
01a-run-047,silicon_valley,gpt-web-ui,3/20/2026 19:47,0,0,4,3,14,low
01a-run-048,silicon_valley,gpt-web-ui,3/20/2026 19:48,0,0,5,3,14,low
01a-run-049,silicon_valley,gpt-web-ui,3/20/2026 19:48,0,0,4,3,14,low
01a-run-050,silicon_valley,gpt-web-ui,3/20/2026 19:49,0,0,5,3,14,low
