run_id,domain,model,timestamp,policy_named,policy_count,institution_count,causal_links_count,proper_noun_count,abstraction_level
01e-run-001,apollo_11,gpt-web-ui,3/26/2026 22:43,0,0,1,4,4,low
01e-run-002,apollo_11,gpt-web-ui,3/26/2026 22:44,0,0,1,4,4,low
01e-run-003,apollo_11,gpt-web-ui,3/26/2026 22:44,0,0,1,4,4,low
01e-run-004,apollo_11,gpt-web-ui,3/26/2026 22:45,0,0,1,4,4,low
01e-run-005,apollo_11,gpt-web-ui,3/26/2026 22:45,0,0,1,4,4,low
01e-run-006,apollo_11,gpt-web-ui,3/26/2026 22:46,0,0,1,5,5,low
01e-run-007,apollo_11,gpt-web-ui,3/26/2026 20:46,0,0,1,4,4,low
01e-run-008,apollo_11,gpt-web-ui,3/26/2026 22:47,0,0,1,4,4,low
01e-run-009,apollo_11,gpt-web-ui,3/26/2026 22:47,0,0,1,5,5,low
01e-run-010,apollo_11,gpt-web-ui,3/26/2026 22:48,0,0,1,3,4,low
01e-run-011,apollo_11,gpt-web-ui,3/26/2026 22:48,0,0,1,4,4,low
01e-run-012,apollo_11,gpt-web-ui,3/26/2026 22:48,0,0,1,4,4,low
01e-run-013,apollo_11,gpt-web-ui,3/26/2026 22:49,0,0,1,4,4,low
01e-run-014,apollo_11,gpt-web-ui,3/26/2026 22:49,0,0,1,5,5,low
01e-run-015,apollo_11,gpt-web-ui,3/26/2026 22:50,0,0,1,5,5,low
01e-run-016,apollo_11,gpt-web-ui,3/26/2026 22:50,0,0,1,5,5,low
01e-run-017,apollo_11,gpt-web-ui,3/26/2026 22:51,0,0,1,5,5,low
01e-run-018,apollo_11,gpt-web-ui,3/26/2026 22:52,0,0,1,4,4,low
01e-run-019,apollo_11,gpt-web-ui,3/26/2026 22:53,0,0,1,4,4,low
01e-run-020,apollo_11,gpt-web-ui,3/26/2026 22:53,0,0,1,5,5,low
01e-run-021,apollo_11,gpt-web-ui,3/26/2026 22:54,0,0,1,5,5,low
01e-run-022,apollo_11,gpt-web-ui,3/26/2026 22:54,0,0,1,5,5,low
01e-run-023,apollo_11,gpt-web-ui,3/26/2026 22:55,0,0,1,5,5,low
01e-run-024,apollo_11,gpt-web-ui,3/26/2026 22:56,0,0,1,4,4,low
01e-run-025,apollo_11,gpt-web-ui,3/26/2026 22:56,0,0,1,5,4,low
01e-run-026,apollo_11,gpt-web-ui,3/26/2026 23:23,0,0,1,4,4,low
01e-run-027,apollo_11,gpt-web-ui,3/26/2026 23:23,0,0,1,3,4,low
01e-run-028,apollo_11,gpt-web-ui,3/26/2026 23:24,0,0,1,4,4,low
01e-run-029,apollo_11,gpt-web-ui,3/26/2026 22:24,0,0,1,3,4,low
01e-run-030,apollo_11,gpt-web-ui,3/26/2026 23:25,0,0,1,4,4,low
01e-run-031,apollo_11,gpt-web-ui,3/26/2026 23:25,0,0,1,4,4,low
01e-run-032,apollo_11,gpt-web-ui,3/26/2026 23:26,0,0,1,4,4,low
01e-run-033,apollo_11,gpt-web-ui,3/26/2026 23:26,0,0,1,5,5,low
01e-run-034,apollo_11,gpt-web-ui,3/26/2026 23:27,0,0,1,4,4,low
01e-run-035,apollo_11,gpt-web-ui,3/26/2026 23:27,0,0,1,3,4,low
01e-run-036,apollo_11,gpt-web-ui,3/26/2026 23:27,0,0,1,5,4,low
01e-run-037,apollo_11,gpt-web-ui,3/26/2026 23:28,0,0,1,4,4,low
01e-run-038,apollo_11,gpt-web-ui,3/26/2026 23:28,0,0,1,5,5,low
01e-run-039,apollo_11,gpt-web-ui,3/26/2026 23:29,0,0,1,5,5,low
01e-run-040,apollo_11,gpt-web-ui,3/26/2026 23:29,0,0,1,5,5,low
01e-run-041,apollo_11,gpt-web-ui,3/26/2026 23:30,0,0,1,5,4,low
01e-run-042,apollo_11,gpt-web-ui,3/26/2026 23:30,0,0,1,5,5,low
01e-run-043,apollo_11,gpt-web-ui,3/26/2026 23:30,0,0,1,5,5,low
01e-run-044,apollo_11,gpt-web-ui,3/26/2026 23:31,0,0,1,5,5,low
01e-run-045,apollo_11,gpt-web-ui,3/26/2026 23:31,0,0,1,5,5,low
01e-run-046,apollo_11,gpt-web-ui,3/26/2026 23:32,0,0,1,5,5,low
01e-run-047,apollo_11,gpt-web-ui,3/26/2026 23:32,0,0,1,6,5,low
01e-run-048,apollo_11,gpt-web-ui,3/26/2026 23:33,0,0,1,6,5,low
01e-run-049,apollo_11,gpt-web-ui,3/26/2026 23:33,0,0,1,5,4,low
01e-run-050,apollo_11,gpt-web-ui,3/26/2026 23:33,0,0,1,5,5,low
