"Name","Count"
"silicon","290"
"innovation","232"
"talent","220"
"companies","209"
"capital","209"
"valley","190"
"culture","172"
"success","170"
"venture","152"
"startups","151"
"early","129"
"economic","128"
"ecosystem","125"
"factors","123"
"global","116"
"research","115"
"valley?","114"
"firms","106"
"stanford","101"
"historical","94"
"funding","94"
"created","93"
"landscape","84"
"technological","84"
"current","78"
"shaped","76"
"defense","73"
"reinforcing","72"
"university","71"
"knowledge","70"
"region","69"
"software","68"
"semiconductors","68"
"network","66"
"semiconductor","66"
"engineers","66"
"government","63"
"internet","62"
"entrepreneurship","62"
"networks","61"
"concentration","60"
"taking","59"
"encouraged","59"
"combination","59"
"computing","59"
"ideas","58"
"entrepreneurial","57"
"infrastructure","57"
"rapid","57"
"skilled","57"
