"Name","Count"
"obesity","503"
"modern","366"
"foods","315"
"epidemic","248"
"factors","212"
"calorie","207"
"processed","185"
"these","170"
"environments","170"
"physical","167"
"activity","166"
"energy","164"
"environment","152"
"weight","147"
"systems","141"
"often","140"
"countries","124"
"changes","123"
"global","112"
"economic","109"
"dense","106"
"income","105"
"ultra","105"
"shaped","104"
"biological","101"
"access","101"
"calories","98"
"landscape","96"
"diets","92"
"stress","92"
"cheap","88"
"social","85"
"biology","85"
"increased","85"
"individual","84"
"shift","84"
"marketing","82"
"health","82"
"intake","79"
"current","75"
"people","75"
"sedentary","75"
"environmental","73"
"chronic","72"
"especially","71"
"behavior","70"
"reduced","67"
"level","66"
"system","65"
"lifestyles","64"
