"Name","Count"
"wealth","1143"
"black","599"
"white","570"
"households","416"
"assets","286"
"housing","230"
"differences","225"
"access","223"
"income","220"
"families","209"
"homeownership","159"
"financial","152"
"black?","149"
"lower","143"
"generations","140"
"likely","140"
"education","134"
"inequality","132"
"higher","129"
"factors","128"
"discrimination","127"
"americans","125"
"historical","124"
"disparities","124"
"asset","122"
"stocks","116"
"segregation","113"
"because","109"
"labor","108"
"these","107"
"current","107"
"market","105"
"economic","103"
"unequal","99"
"united","99"
"states","99"
"often","99"
"slavery","96"
"intergenerational","96"
"building","95"
"exclusion","91"
"policies","91"
"equity","90"
"inheritance","90"
"accumulation","90"
"opportunities","88"
"persistent","86"
"ownership","86"
"across","84"
"large","83"
