"Name","Count"
"earthquake","291"
"francisco","260"
"landscape","126"
"urban","126"
"building","107"
"shaped","105"
"fault","103"
"factors","99"
"disaster","98"
"infrastructure","96"
"areas","94"
"fires","91"
"modern","89"
"water","80"
"planning","77"
"codes","76"
"andreas","75"
"current","73"
"systems","69"
"seismic","67"
"quake","65"
"along","64"
"rebuilding","63"
"neighborhoods","63"
"economic","63"
"reshaped","63"
"francisco?","62"
"city?","62"
"estimated","60"
"caused","59"
"population","58"
"people","53"
"rebuilt","52"
"destroyed","51"
"summarize","50"
"magnitude","50"
"buildings","49"
"destruction","49"
"which","49"
"april","46"
"history","45"
"today","45"
"disasters","44"
"cultural","43"
"shaking","42"
"shifts","41"
"massive","41"
"reconstruction","41"
"across","41"
"natural","41"
