"Name","Count"
"apollo","351"
"space","341"
"lunar","220"
"landing","209"
"exploration","150"
"landscape","140"
"mission","138"
"shaped","127"
"human","126"
"technological","124"
"factors","114"
"current","110"
"module","104"
"first","104"
"transcript","100"
"science","95"
"armstrong","89"
"today?","85"
"scientific","77"
"international","72"
"modern","70"
"missions","66"
"global","65"
"aldrin","65"
"computing","63"
"innovation","60"
"collins","59"
"soviet","56"
"earth","54"
"engineering","54"
"impact","54"
"humans","51"
"funding","51"
"materials","50"
"michael","50"
"start","50"
"summarize","50"
"legacy","49"
"political","48"
"surface","47"
"small","47"
"private","46"
"command","45"
"giant","45"
"competition","45"
"program","43"
"programs","43"
"cultural","43"
"pilot","42"
"mankind","42"
