"Category","Term","Hits","Hit Rate (n=50)"
"Geopolitics","Cold War","61","122%"
"Geopolitics","Soviet Union","41","82%"
"Geopolitics","Space Race","49","98%"
"Geopolitics","competition","45","90%"
"Program","Apollo Program","16","32%"
"Program","NASA","88","176%"
"Program","mission","210","420%"
"Program","lunar landing","14","28%"
"Leadership","John F. Kennedy","23","46%"
"Leadership","Kennedy","29","58%"
"Leadership","presidential directive","0","0%"
"Events","Sputnik","8","16%"
"Events","Yuri Gagarin","6","12%"
"Events","1969","89","178%"
"Technology","rocket","53","106%"
"Technology","Saturn V","26","52%"
"Technology","engineering","54","108%"
"Technology","technology","42","84%"
"Mechanism","funding","52","104%"
"Mechanism","government investment","13","26%"
"Mechanism","innovation","84","168%"
"Mechanism","research and development","0","0%"
"Outcome","moon landing","137","274%"
"Outcome","successful","24","48%"
"Outcome","victory","5","10%"
